DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2020-04-15	32063569	Alemany-Navarro M	2020-01-29	J Affect Disord	www.ncbi.nlm.nih.gov/pubmed/32063569	Exploring genetic variants in obsessive compulsive disorder severity: A GWAS approach.	Compulsion score in obsessive compulsive disorder	376 Spanish ancestry individuals	NA	12p11.22	12	29862356	TMTC1	TMTC1 - AC023511.3	ENSG00000133687	ENSG00000286566		77597	223986	rs2220130-?	rs2220130	0	2220130	intergenic_variant	1	NR	9E-6	5.045757490560675		1.246142	NR unit decrease	Illumina [338357]	N	obsessive-compulsive disorder, obsessive-compulsive symptom measurement	http://www.ebi.ac.uk/efo/EFO_0004242, http://www.ebi.ac.uk/efo/EFO_0007802	GCST009819	Genome-wide genotyping array
2020-04-15	32063569	Alemany-Navarro M	2020-01-29	J Affect Disord	www.ncbi.nlm.nih.gov/pubmed/32063569	Exploring genetic variants in obsessive compulsive disorder severity: A GWAS approach.	Compulsion score in obsessive compulsive disorder	376 Spanish ancestry individuals	NA	7p22.1	7	7053681	MIR3683	AC079804.3			ENSG00000287860			rs16876441-?	rs16876441	0	16876441	intron_variant	0	NR	9E-6	5.045757490560675		2.7562728	NR unit decrease	Illumina [338357]	N	obsessive-compulsive disorder, obsessive-compulsive symptom measurement	http://www.ebi.ac.uk/efo/EFO_0004242, http://www.ebi.ac.uk/efo/EFO_0007802	GCST009819	Genome-wide genotyping array
2020-04-15	32063569	Alemany-Navarro M	2020-01-29	J Affect Disord	www.ncbi.nlm.nih.gov/pubmed/32063569	Exploring genetic variants in obsessive compulsive disorder severity: A GWAS approach.	Obsession score in obsessive compulsive disorder	376 Spanish ancestry individuals	NA	3q29	3	193412595	ATP13A4	ATP13A4			ENSG00000127249			rs6764121-?	rs6764121	0	6764121	intron_variant	0	NR	9E-6	5.045757490560675		1.1443635	NR unit decrease	Illumina [338357]	N	obsessive-compulsive disorder, obsessive-compulsive symptom measurement	http://www.ebi.ac.uk/efo/EFO_0004242, http://www.ebi.ac.uk/efo/EFO_0007802	GCST009820	Genome-wide genotyping array
2019-02-21	30456828	Khramtsova EA	2018-11-20	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/30456828	Sex differences in the genetic architecture of obsessive-compulsive disorder.	Obsessive-compulsive disorder	1,249 European ancestry male cases, 2,789 European ancestry male controls, 1,525 European ancestry female cases, 4,307 European ancestry female controls	NA	14q23.1	14	59440374	GPR135	GPR135			ENSG00000181619			rs1755715-?	rs1755715	0	1755715	intron_variant	0		9E-7	6.045757490560675	(female)	0.235	[0.14-0.33] unit decrease	NR [~ 5500000] (imputed)	N	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	GCST007208	Genome-wide genotyping array
2019-02-21	30456828	Khramtsova EA	2018-11-20	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/30456828	Sex differences in the genetic architecture of obsessive-compulsive disorder.	Obsessive-compulsive disorder	1,249 European ancestry male cases, 2,789 European ancestry male controls, 1,525 European ancestry female cases, 4,307 European ancestry female controls	NA	10q25.3	10	113985179	Intergenic	NHLRC2 - ADRB1	ENSG00000196865	ENSG00000043591		67985	58687	rs12769537-?	rs12769537	0	12769537	regulatory_region_variant	1		2E-6	5.698970004336019	(female)	0.458	[0.27-0.65] unit increase	NR [~ 5500000] (imputed)	N	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	GCST007208	Genome-wide genotyping array
2019-02-21	30456828	Khramtsova EA	2018-11-20	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/30456828	Sex differences in the genetic architecture of obsessive-compulsive disorder.	Obsessive-compulsive disorder	1,249 European ancestry male cases, 2,789 European ancestry male controls, 1,525 European ancestry female cases, 4,307 European ancestry female controls	NA	10p15.1	10	4174671	Intergenic	AC025822.2 - LINC00702	ENSG00000236990	ENSG00000233117		85658	26470	rs76983293-?	rs76983293	0	76983293	intergenic_variant	1		2E-6	5.698970004336019	(female)	0.549	[0.32-0.78] unit increase	NR [~ 5500000] (imputed)	N	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	GCST007208	Genome-wide genotyping array
2019-02-21	30456828	Khramtsova EA	2018-11-20	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/30456828	Sex differences in the genetic architecture of obsessive-compulsive disorder.	Obsessive-compulsive disorder	1,249 European ancestry male cases, 2,789 European ancestry male controls, 1,525 European ancestry female cases, 4,307 European ancestry female controls	NA	13q22.2	13	75856884	LMO7	LMO7			ENSG00000136153			rs75502311-?	rs75502311	0	75502311	non_coding_transcript_exon_variant	0		3E-6	5.522878745280337	(female)	0.397	[0.23-0.56] unit increase	NR [~ 5500000] (imputed)	N	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	GCST007208	Genome-wide genotyping array
2019-02-21	30456828	Khramtsova EA	2018-11-20	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/30456828	Sex differences in the genetic architecture of obsessive-compulsive disorder.	Obsessive-compulsive disorder	1,249 European ancestry male cases, 2,789 European ancestry male controls, 1,525 European ancestry female cases, 4,307 European ancestry female controls	NA	4q22.1	4	92380531	GRID2	GRID2			ENSG00000152208			rs13110899-?	rs13110899	0	13110899	intron_variant	0		3E-6	5.522878745280337	(female)	0.225	[0.13-0.32] unit decrease	NR [~ 5500000] (imputed)	N	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	GCST007208	Genome-wide genotyping array
2019-02-21	30456828	Khramtsova EA	2018-11-20	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/30456828	Sex differences in the genetic architecture of obsessive-compulsive disorder.	Obsessive-compulsive disorder	1,249 European ancestry male cases, 2,789 European ancestry male controls, 1,525 European ancestry female cases, 4,307 European ancestry female controls	NA	8p22	8	15787050	Intergenic	TUSC3 - PPM1AP1	ENSG00000104723	ENSG00000250483		20401	19099	rs352766-?	rs352766	0	352766	intergenic_variant	1		4E-6	5.3979400086720375	(female)	0.296	[0.17-0.42] unit decrease	NR [~ 5500000] (imputed)	N	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	GCST007208	Genome-wide genotyping array
2019-02-21	30456828	Khramtsova EA	2018-11-20	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/30456828	Sex differences in the genetic architecture of obsessive-compulsive disorder.	Obsessive-compulsive disorder	1,249 European ancestry male cases, 2,789 European ancestry male controls, 1,525 European ancestry female cases, 4,307 European ancestry female controls	NA	12q21.31	12	84644357	Intergenic	AC087888.1 - AC093027.1	ENSG00000258358	ENSG00000257296		194479	27241	rs1017722-?	rs1017722	0	1017722	intergenic_variant	1		5E-6	5.301029995663981	(female)	0.401	[0.23-0.57] unit increase	NR [~ 5500000] (imputed)	N	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	GCST007208	Genome-wide genotyping array
2019-02-21	30456828	Khramtsova EA	2018-11-20	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/30456828	Sex differences in the genetic architecture of obsessive-compulsive disorder.	Obsessive-compulsive disorder	1,249 European ancestry male cases, 2,789 European ancestry male controls, 1,525 European ancestry female cases, 4,307 European ancestry female controls	NA	4q22.2	4	93035284	GRID2	GRID2			ENSG00000152208			rs1840717-?	rs1840717	0	1840717	intron_variant	0		6E-6	5.221848749616356	(female)	0.205	[0.12-0.29] unit decrease	NR [~ 5500000] (imputed)	N	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	GCST007208	Genome-wide genotyping array
2019-02-21	30456828	Khramtsova EA	2018-11-20	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/30456828	Sex differences in the genetic architecture of obsessive-compulsive disorder.	Obsessive-compulsive disorder	1,249 European ancestry male cases, 2,789 European ancestry male controls, 1,525 European ancestry female cases, 4,307 European ancestry female controls	NA	3p26.3	3	1895465	Intergenic	RPL23AP39 - RPL21P17	ENSG00000214074	ENSG00000214073		164991	10186	rs12635725-?	rs12635725	0	12635725	intergenic_variant	1		6E-8	7.221848749616356	(male)	0.291	[0.19-0.4] unit decrease	NR [~ 5500000] (imputed)	N	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	GCST007208	Genome-wide genotyping array
2019-02-21	30456828	Khramtsova EA	2018-11-20	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/30456828	Sex differences in the genetic architecture of obsessive-compulsive disorder.	Obsessive-compulsive disorder	1,249 European ancestry male cases, 2,789 European ancestry male controls, 1,525 European ancestry female cases, 4,307 European ancestry female controls	NA	1q21.3	1	153493087	Intergenic	S100A7 - RN7SL44P	ENSG00000143556	ENSG00000263841		32436	7376	rs28696717-?	rs28696717	0	28696717	intergenic_variant	1		1E-6	6.0	(male)	0.436	[0.26-0.61] unit decrease	NR [~ 5500000] (imputed)	N	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	GCST007208	Genome-wide genotyping array
2019-02-21	30456828	Khramtsova EA	2018-11-20	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/30456828	Sex differences in the genetic architecture of obsessive-compulsive disorder.	Obsessive-compulsive disorder	1,249 European ancestry male cases, 2,789 European ancestry male controls, 1,525 European ancestry female cases, 4,307 European ancestry female controls	NA	19p13.2	19	8304859	CD320	CD320			ENSG00000167775			rs2927709-?	rs2927709	0	2927709	non_coding_transcript_exon_variant	0		3E-6	5.522878745280337	(male)	0.262	[0.15-0.37] unit decrease	NR [~ 5500000] (imputed)	N	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	GCST007208	Genome-wide genotyping array
2019-02-21	30456828	Khramtsova EA	2018-11-20	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/30456828	Sex differences in the genetic architecture of obsessive-compulsive disorder.	Obsessive-compulsive disorder	1,249 European ancestry male cases, 2,789 European ancestry male controls, 1,525 European ancestry female cases, 4,307 European ancestry female controls	NA	12p12.2	12	20773248	Intergenic	SLCO1C1 - SLCO1B3	ENSG00000139155	ENSG00000111700		19862	37454	rs11502414-?	rs11502414	0	11502414	intergenic_variant	1		3E-6	5.522878745280337	(male)	0.546	[0.32-0.77] unit decrease	NR [~ 5500000] (imputed)	N	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	GCST007208	Genome-wide genotyping array
2019-02-21	30456828	Khramtsova EA	2018-11-20	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/30456828	Sex differences in the genetic architecture of obsessive-compulsive disorder.	Obsessive-compulsive disorder	1,249 European ancestry male cases, 2,789 European ancestry male controls, 1,525 European ancestry female cases, 4,307 European ancestry female controls	NA	18q23	18	78450570	Intergenic	AC107892.1 - AC087399.1	ENSG00000266213	ENSG00000265644		309683	29979	rs73001203-?	rs73001203	0	73001203	intergenic_variant	1		3E-6	5.522878745280337	(male)	0.403	[0.23-0.57] unit decrease	NR [~ 5500000] (imputed)	N	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	GCST007208	Genome-wide genotyping array
2019-02-21	30456828	Khramtsova EA	2018-11-20	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/30456828	Sex differences in the genetic architecture of obsessive-compulsive disorder.	Obsessive-compulsive disorder	1,249 European ancestry male cases, 2,789 European ancestry male controls, 1,525 European ancestry female cases, 4,307 European ancestry female controls	NA	15q11.2	15	22987562	TUBGCP5	TUBGCP5, TUBGCP5			ENSG00000276856, ENSG00000275835			rs7183340-?	rs7183340	0	7183340	intron_variant	0		3E-6	5.522878745280337	(male)	0.415	[0.24-0.59] unit increase	NR [~ 5500000] (imputed)	N	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	GCST007208	Genome-wide genotyping array
2019-02-21	30456828	Khramtsova EA	2018-11-20	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/30456828	Sex differences in the genetic architecture of obsessive-compulsive disorder.	Obsessive-compulsive disorder	1,249 European ancestry male cases, 2,789 European ancestry male controls, 1,525 European ancestry female cases, 4,307 European ancestry female controls	NA	12q24.31	12	122703817	RP11-324E6.6	AC026333.3			ENSG00000256249			rs118110667-?	rs118110667	1	2454707	intron_variant	0		3E-6	5.522878745280337	(male)	0.54	[0.31-0.77] unit decrease	NR [~ 5500000] (imputed)	N	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	GCST007208	Genome-wide genotyping array
2019-02-21	30456828	Khramtsova EA	2018-11-20	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/30456828	Sex differences in the genetic architecture of obsessive-compulsive disorder.	Obsessive-compulsive disorder	1,249 European ancestry male cases, 2,789 European ancestry male controls, 1,525 European ancestry female cases, 4,307 European ancestry female controls	NA	7p11.2	7	54719568	intergenic	AC011228.3 - AC011228.2	ENSG00000288525	ENSG00000286404		42199	2156	rs11768490-?	rs11768490	0	11768490	intergenic_variant	1		4E-6	5.3979400086720375	(male)	0.239	[0.14-0.34] unit decrease	NR [~ 5500000] (imputed)	N	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	GCST007208	Genome-wide genotyping array
2019-02-21	30456828	Khramtsova EA	2018-11-20	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/30456828	Sex differences in the genetic architecture of obsessive-compulsive disorder.	Obsessive-compulsive disorder	1,249 European ancestry male cases, 2,789 European ancestry male controls, 1,525 European ancestry female cases, 4,307 European ancestry female controls	NA	5q11.2	5	59254713	PDE4D	PDE4D			ENSG00000113448			rs6450514-?	rs6450514	0	6450514	intron_variant	0		4E-6	5.3979400086720375	(male)	0.244	[0.14-0.35] unit decrease	NR [~ 5500000] (imputed)	N	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	GCST007208	Genome-wide genotyping array
2019-02-21	30456828	Khramtsova EA	2018-11-20	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/30456828	Sex differences in the genetic architecture of obsessive-compulsive disorder.	Obsessive-compulsive disorder	1,249 European ancestry male cases, 2,789 European ancestry male controls, 1,525 European ancestry female cases, 4,307 European ancestry female controls	NA	19q13.11	19	34149686	Intergenic	CHCHD2P3 - LSM14A	ENSG00000270849	ENSG00000257103		22263	22818	rs1260555-?	rs1260555	0	1260555	intergenic_variant	1		5E-6	5.301029995663981	(male)	0.245	[0.14-0.35] unit decrease	NR [~ 5500000] (imputed)	N	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	GCST007208	Genome-wide genotyping array
2019-02-21	30456828	Khramtsova EA	2018-11-20	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/30456828	Sex differences in the genetic architecture of obsessive-compulsive disorder.	Obsessive-compulsive disorder	1,249 European ancestry male cases, 2,789 European ancestry male controls, 1,525 European ancestry female cases, 4,307 European ancestry female controls	NA	7q21.13	7	89349373	Intergenic	ZNF804B - AC002383.1	ENSG00000182348	ENSG00000227863		10845	94573	rs12536521-?	rs12536521	0	12536521	intergenic_variant	1		3E-7	6.522878745280337	(female)	1.378	[0.85-1.9] unit increase	NR [~ 5500000] (imputed)	N	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	GCST007208	Genome-wide genotyping array
2019-02-21	30456828	Khramtsova EA	2018-11-20	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/30456828	Sex differences in the genetic architecture of obsessive-compulsive disorder.	Obsessive-compulsive disorder	1,249 European ancestry male cases, 2,789 European ancestry male controls, 1,525 European ancestry female cases, 4,307 European ancestry female controls	NA	14q24.3	14	77817693	ADCK1	ADCK1			ENSG00000063761			rs2364841-?	rs2364841	0	2364841	intron_variant	0		8E-7	6.096910013008056	(female)	0.322	[0.19-0.45] unit increase	NR [~ 5500000] (imputed)	N	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	GCST007208	Genome-wide genotyping array
2019-02-21	30456828	Khramtsova EA	2018-11-20	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/30456828	Sex differences in the genetic architecture of obsessive-compulsive disorder.	Obsessive-compulsive disorder x sex interaction	2,774 European ancestry cases, 7,096 European ancestry controls	NA	17q25.3	17	77643885	NR	AC021683.5			ENSG00000285535			rs2077613-?	rs2077613	0	2077613	intron_variant	0	NR	4E-6	5.3979400086720375				NR [~ 5500000] (imputed)	N	obsessive-compulsive disorder, sex interaction measurement	http://www.ebi.ac.uk/efo/EFO_0004242, http://www.ebi.ac.uk/efo/EFO_0008343	GCST007207	Genome-wide genotyping array
2019-02-21	30456828	Khramtsova EA	2018-11-20	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/30456828	Sex differences in the genetic architecture of obsessive-compulsive disorder.	Obsessive-compulsive disorder x sex interaction	2,774 European ancestry cases, 7,096 European ancestry controls	NA	6q14.1	6	81808083	NR	AL078599.2 - LINC01526	ENSG00000219702	ENSG00000224995		43580	5203	rs79886445-?	rs79886445	0	79886445	intergenic_variant	1	NR	4E-6	5.3979400086720375				NR [~ 5500000] (imputed)	N	obsessive-compulsive disorder, sex interaction measurement	http://www.ebi.ac.uk/efo/EFO_0004242, http://www.ebi.ac.uk/efo/EFO_0008343	GCST007207	Genome-wide genotyping array
2014-11-14	24821223	Mattheisen M	2014-05-13	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/24821223	Genome-wide association study in obsessive-compulsive disorder: results from the OCGAS.	Obsessive-compulsive disorder	1,406 cases and 1,489 controls from 1,065 families, 192 cases, 1,984 controls	NA	9p23	9	11890045	PTPRD, LOC646114, LOC100049717	AL353595.1			ENSG00000285784			rs4401971-?	rs4401971	0	4401971	intron_variant	0	NR	4E-7	6.3979400086720375				Illumina [549123]	N	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	GCST002451	Genome-wide genotyping array
2014-11-14	24821223	Mattheisen M	2014-05-13	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/24821223	Genome-wide association study in obsessive-compulsive disorder: results from the OCGAS.	Obsessive-compulsive disorder	1,406 cases and 1,489 controls from 1,065 families, 192 cases, 1,984 controls	NA	5p14.1	5	25572192	CDH10, MSNL1	AC022140.1 - RNU6-374P	ENSG00000248605	ENSG00000201016		126267	129025	rs6876547-?	rs6876547	0	6876547	regulatory_region_variant	1	NR	2E-6	5.698970004336019				Illumina [549123]	N	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	GCST002451	Genome-wide genotyping array
